Date,ypf,ypfdba,ggal,ggalba,bma,bmaba,pam,pampba,bbar,bbarba,ccl
2010-01-07,35.66225814819336,141.67076110839844,4.7971720695495605,1.7431631088256836,19.222646713256836,4.18450927734375,11.292305946350098,1.7298829555511475,4.570765495300293,4.905409812927246,3.3665175735006487
2010-01-08,36.128963470458984,141.50132751464844,4.714888572692871,1.7033647298812866,19.023378372192383,4.127187728881836,11.124354362487793,1.670231819152832,4.61781644821167,5.047767162322998,3.3463402237458126
2010-01-11,36.70830535888672,140.6540069580078,4.533863067626953,1.631727933883667,18.943675994873047,4.069864749908447,10.887246131896973,1.6503480672836304,4.557321548461914,4.958793640136719,3.3265934109975235
2010-01-12,36.853145599365234,140.6540069580078,4.319923400878906,1.5680508613586426,18.943675994873047,4.069864749908447,10.590859413146973,1.6006388664245605,4.577487468719482,4.964725017547607,3.3253921139561684
2010-01-13,35.807098388671875,140.6540069580078,4.418666362762451,1.6237685680389404,19.04330062866211,4.127187728881836,10.660016059875488,1.6503480672836304,4.597652912139893,5.113013744354248,3.3953710392412346
2010-01-14,36.24161148071289,140.6540069580078,4.599690914154053,1.6874455213546753,19.58132553100586,4.203616619110107,11.321945190429688,1.6801737546920776,4.732086658477783,5.0833563804626465,3.3258101319997473
2010-01-15,35.84733200073242,142.34861755371094,4.468036651611328,1.6874455213546753,19.44184112548828,4.222724914550781,10.897124290466309,1.670231819152832,4.611096382141113,5.101151943206787,3.4140602207133184
2010-01-19,35.613983154296875,143.19593811035156,4.583233833312988,1.719284176826477,19.255861282348633,4.165402412414551,10.768691062927246,1.660290002822876,4.732086658477783,5.219783306121826,3.4197669878755077
2010-01-20,34.60011672973633,143.19593811035156,4.533863067626953,1.679485559463501,19.35549545288086,4.26093864440918,11.035438537597656,1.6503480672836304,4.65814733505249,5.178262233734131,3.4236078043143197
2010-01-21,35.60593032836914,137.2647705078125,4.426893711090088,1.6635667085647583,19.647750854492188,4.280046463012695,10.887246131896973,1.6901155710220337,4.570765495300293,5.101151943206787,3.404086777357265
2010-01-22,35.02659225463867,137.2647705078125,4.361065864562988,1.647647500038147,19.14293670654297,4.241831302642822,11.173751831054688,1.7099993228912354,4.61781644821167,5.184193134307861,3.421342097629413
2010-01-25,33.803504943847656,137.2647705078125,4.352837085723877,1.631727933883667,18.790903091430664,4.165402412414551,11.183631896972656,1.7199411392211914,4.570765495300293,5.101151943206787,3.4437845291424294
2010-01-26,33.65867233276367,137.2647705078125,4.287010669708252,1.6237685680389404,18.611562728881836,4.108079433441162,11.173751831054688,1.7298829555511475,4.570765495300293,5.142672061920166,3.4637689499684448
2010-01-27,33.63452911376953,137.2647705078125,4.237640857696533,1.631727933883667,18.611562728881836,4.050758361816406,11.321945190429688,1.7597085237503052,4.604373931884766,5.160466194152832,3.471207460755921
2010-01-28,33.39313507080078,138.112060546875,4.254096984863281,1.607848882675171,18.65805435180664,4.069864749908447,11.312065124511719,1.739824891090393,4.604373931884766,5.160466194152832,3.4608304469899194
2010-01-29,33.58626174926758,138.9593505859375,4.287010669708252,1.6237685680389404,18.937030792236328,4.108079433441162,11.193511009216309,1.7199411392211914,4.268289089202881,5.041836261749268,3.4958888791716083
2010-02-01,33.883975982666016,138.9593505859375,4.393979549407959,1.607848882675171,18.804183959960938,4.146295547485352,11.153992652893066,1.7298829555511475,4.396000862121582,4.911340713500977,3.438837905867146
